T,gebruik waterstof,waterstof stock,cashflow WA,TMK bot,TMK top,onbalansstroom inkopen PL,onbalansstroom verkopen PL
315,0,62.880009,46886.14844,0,-3064.221191,41,0
316,0,102.880005,39488.23047,0,-10461.74023,0,90.200005
317,0,102.880005,29303.90039,0,-20646.07031,111,0
318,0,102.880005,51646.80078,0,1696.828735,22,0
319,0,142.880005,69414.625,0,19465.05664,0,26.200003
320,0,182.880005,106242.9375,0,56293.76953,0,96.200005
321,0,182.880005,108361.1953,0,58412.02734,144,0
322,0,182.880005,86173.89844,0,36224.72656,161,0
323,29.508987,133.599991,127770.6094,295.089874,77820.94531,82.491013,0
324,39.999996,66.799995,156027.9531,399.999969,106077.6172,14.000004,0
325,0,66.799995,180151.9063,0,130201.5703,251,0
326,40,0,124623.5469,399.999969,74672.54688,4.000002,0
327,0,0,109571.3516,0,59620.35156,52,0
328,0,0,122971.6563,0,73020.65625,265,0
329,0,40,95978.09375,0,46027.49219,0,28.200003
330,0,80,95467.77344,0,45517.57031,0,109.200005
331,0,80,116521.5,0,66571.29688,4,0
332,0,80,54759.39844,0,4809.200195,96,0
333,40,13.200002,63734,400,13783.13184,0,0
334,7.904193,0,85180.875,79.041931,35229.87891,32.095806,0
335,0,40,55550.57031,0,5599.970215,0,4.200002
336,7.799998,66.974007,47759.15234,77.999985,-2191.178467,0,0
337,0,66.974007,44827.80078,0,-5122.530762,0,139
338,0,66.974007,32259.09961,0,-17691.23047,0,71
339,0,106.974007,27656.11914,0,-22293.81055,0,32.200001
340,0,106.974007,25842.54883,0,-24107.38086,23,0
341,0,106.974007,28051.40039,0,-21898.5293,108,0
342,0,106.974007,21035.40039,0,-28914.5293,19,0
343,0,146.973999,40205.32813,0,-9744.201172,0,82.200005
344,0,186.973999,65779.8125,0,15830.68066,0,8.200002
345,0,189.790894,59084,0,9134.897461,0,0
346,0,189.790894,92486,0,42536.89453,5,0
347,0,229.790894,58591.14844,0,8642.446289,0,38.200001
348,17.59934,200.399994,64267.98828,175.993408,14318.99316,126.400658,0
349,40,133.599991,55447.44922,400,5497.786621,61,0
350,39.999996,66.799995,51425.84766,399.999969,1475.516846,64,0
351,40,0,77316.09375,399.999969,27365.09766,84,0
352,0,19.014086,65975.35156,0,16024.54102,0,0
353,0,19.014086,68795.70313,0,18844.89258,49,0
354,0,19.014086,98326.35156,0,48375.53906,101,0
355,0,59.014084,55761.64844,0,5811.240234,0,28.200003
356,0,99.014084,73692.24219,0,23742.23047,0,25.200003
357,19.289871,66.799995,70989.48438,192.898727,21039.15234,82.710129,0
358,0,66.799995,61699.5,0,11749.16797,110,0
359,0,66.799995,68245.39844,0,18295.07031,0,164
360,0,66.799995,69439.85156,0,19489.51563,78,0
361,40,0,86076.54688,399.999969,36125.55078,9.000002,0
362,0,0,61506.09766,0,11555.09961,49,0
363,0,40,66094.17969,0,16143.58008,0,96.200005
364,0,40,53514.5,0,3563.898682,0,166
365,0,40,55892.55078,0,5941.949219,93,0
366,0,40,97422.30469,0,47471.70313,0,185
367,0,40,125248.8047,0,75298.20313,89,0
368,0,58.30986,182317,0,132366.5781,0,0
369,34.916084,0,139273.3281,349.160858,89322.32031,8.083915,0
370,0,40,137725.8438,0,87775.25,0,182.199997
371,0,40,113513.7031,0,63563.10156,27,0
372,0,80,145421.5156,0,95471.32031,0,155.199997
373,0,80,159558.9531,0,109608.7578,35,0
374,0,80,122998.5,0,73048.30469,0,64
375,13,58.290001,137341,130,87390.58594,0,0
376,0,98.290001,115312.6563,0,65362.64063,0,155.199997
377,40,31.490002,114525.8438,400,64575.16016,105,0
378,4.916844,23.278872,137278.7031,49.168446,87327.9375,40.083157,0
379,0,26.799997,126414.25,0.000001,76463.51563,0,0
380,0,66.799995,127406.6484,0,77456.32031,0,111.200005
381,40,0,130429.2969,399.999969,80478.29688,66,0
382,0,0,167780.5469,0,117829.5547,288,0
383,0,0,171470.5469,0,121519.5469,0,39
384,0,0,157932,0,107981,107,0
385,0,40,188955.9844,0,139005.3906,0,89.200005
